Transaction ID,Timestamp,Sender Account ID,Receiver Account ID,Amount,Type,Device ID,IP Address,Location,Account Balance,Suspicious Activity Flag,User Device Recognition,Known Threat Flag,Login Location Match,Spending Pattern Deviation
T0001,1/2/25 9:52,A41624,B51095,9779.6,Deposit,D946,239.223.61.165,Florida,1716.59,0,1,0,0,0
T0002,1/2/25 16:47,A23440,B87929,8462.23,Withdrawal,D616,83.255.26.124,Florida,2083.72,0,0,0,0,1
T0003,1/2/25 12:38,A56501,B39190,4548.84,Withdrawal,D226,63.130.126.251,California,2052.64,1,1,0,1,0
T0004,1/5/25 5:37,A97333,B36141,7751.65,Transfer,D532,10.23.28.196,New York,2772.69,0,0,0,1,0
T0005,1/3/25 23:59,A11269,B33908,1931.19,Transfer,D185,224.7.18.67,Florida,3052.78,0,1,0,1,0
T0006,1/2/25 9:17,A17868,B42322,5623.8,Deposit,D697,232.98.221.196,Florida,2688.61,0,1,0,0,0
T0007,1/2/25 6:37,A40251,B60710,747.12,Withdrawal,D635,123.47.167.101,New York,2495.55,0,1,0,1,0
T0008,1/3/25 9:44,A87909,B24012,3481.54,Transfer,D144,194.143.63.7,Texas,3680.56,0,1,0,1,0
T0009,1/1/25 15:14,A94523,B44889,2259.4,Withdrawal,D722,108.132.229.122,Florida,1993.35,0,1,1,1,0
T0010,1/2/25 14:08,A48729,B27412,7189.38,Transfer,D389,226.199.227.152,California,3511.23,0,0,0,1,0
T0011,1/6/25 12:06,A25734,B34657,4901.42,Transfer,D796,52.48.248.71,New York,4826.67,0,0,0,0,0
T0012,1/5/25 23:33,A52429,B15656,7510.95,Deposit,D334,148.50.252.173,California,2887.09,0,1,0,0,0
T0013,1/2/25 0:18,A51337,B18967,5153.44,Withdrawal,D256,8.63.223.235,New York,3044.79,1,1,0,0,0
T0014,1/5/25 8:07,A50325,B94958,865.76,Withdrawal,D505,204.22.187.186,Texas,3913.11,0,1,0,0,0
T0015,1/5/25 11:54,A93600,B25764,7353.94,Transfer,D772,135.191.226.53,Florida,3029.58,0,1,0,1,1
T0016,1/3/25 0:40,A72514,B25873,8332.46,Transfer,D604,91.14.51.220,Texas,1575.63,0,1,0,1,0
T0017,1/3/25 5:08,A18433,B61030,9035.41,Deposit,D811,178.3.161.100,Florida,3442.81,0,1,0,1,0
T0018,1/4/25 5:16,A19111,B77807,5720.35,Transfer,D221,151.148.129.6,New York,3035.09,0,1,0,0,0
T0019,1/1/25 11:24,A73753,B11607,7536.1,Withdrawal,D323,183.74.75.195,California,4805.91,0,1,0,0,0
T0020,1/4/25 19:29,A90583,B29523,7520.69,Deposit,D976,34.254.231.153,Texas,1372.01,0,1,0,1,0
T0021,1/1/25 18:00,A83620,B58447,1558.34,Withdrawal,D122,145.63.246.121,New York,3145.87,0,0,0,1,0
T0022,1/4/25 1:01,A31751,B59757,1643.04,Deposit,D296,55.228.207.54,Texas,3467.72,0,0,0,0,0
T0023,1/4/25 17:24,A26453,B79201,709.78,Withdrawal,D578,139.232.252.231,New York,3479.58,0,1,0,0,0
T0024,1/3/25 5:53,A95844,B91844,3199.82,Transfer,D384,36.51.146.14,Texas,1238.8,0,1,0,1,0
T0025,1/4/25 18:51,A48968,B81388,4735.61,Withdrawal,D617,126.85.83.106,New York,2311.32,1,1,0,1,1
T0026,1/3/25 22:11,A40077,B15462,9978.98,Withdrawal,D407,179.76.214.253,Texas,2050.17,0,1,0,0,0
T0027,1/3/25 7:17,A44775,B41795,4310.5,Deposit,D444,222.153.44.95,Texas,3719.95,1,1,0,1,0
T0028,1/4/25 2:17,A68144,B79806,7262.7,Withdrawal,D700,20.80.220.52,New York,3941.65,0,0,0,1,0
T0029,1/2/25 4:42,A58570,B58465,6934.28,Transfer,D989,156.175.213.112,Texas,1837.08,0,0,0,1,0
T0030,1/3/25 17:29,A56097,B71109,2045.62,Deposit,D497,146.181.77.126,New York,4304.32,0,1,0,0,0
T0031,1/3/25 11:29,A34503,B60528,586.01,Deposit,D884,254.118.102.86,Texas,2940.14,0,1,0,1,0
T0032,1/3/25 3:19,A12779,B46230,5460.52,Withdrawal,D563,104.1.114.246,Florida,2051.84,0,1,1,1,1
T0033,1/5/25 0:30,A96840,B58242,7003.36,Deposit,D895,31.101.61.96,Florida,2199.01,0,1,0,1,1
T0034,1/5/25 21:11,A10755,B75883,9982.52,Transfer,D876,121.134.239.97,Texas,2054.15,0,1,0,0,1
T0035,1/6/25 9:12,A49263,B11783,3586.75,Withdrawal,D214,195.214.83.149,New York,3417.77,0,1,0,1,0
T0036,1/3/25 23:53,A65087,B38390,8963.75,Transfer,D735,237.156.106.232,Florida,3108.26,0,0,0,1,0
T0037,1/6/25 15:03,A52281,B18417,3819.94,Withdrawal,D549,100.130.21.83,Texas,4754.92,0,1,0,1,0
T0038,1/5/25 13:05,A61482,B82102,6894.43,Withdrawal,D871,88.225.105.180,Texas,2094.76,0,1,0,1,0
T0039,1/6/25 18:56,A64857,B27426,5982.93,Deposit,D503,92.184.137.102,New York,2276.71,0,1,0,1,0
T0040,1/2/25 19:32,A27400,B40750,530.73,Deposit,D780,238.100.39.113,California,1025.91,0,1,0,1,0
T0041,1/5/25 0:17,A50115,B68188,784.81,Deposit,D647,147.124.229.86,New York,2193.35,0,1,0,1,0
